2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
21,33,28,25,25,25,30,53,31,23,43,46,26,26
33,30,27,25,25,32,32,34,37,22,24,41,28,38
31,25,32,23,24,26,27,46,42,35,34,38,24,33
28,25,41,45,46,38,38,27,39,42,30,31,22,25
26,47,27,28,28,40,33,35,23,30,25,38,31,26
29,24,34,29,31,23,37,32,44,52,29,36,30,27
27,24,28,47,34,35,31,30,39,32,48,50,41,37
26,23,50,42,40,32,22,34,31,24,44,24,34,50
21,24,45,24,26,37,34,34,30,46,29,29,43,26
22,49,25,30,26,44,14,36,49,39,37,27,63,36
24,25,42,33,29,25,23,56,25,53,41,23,40,62
47,30,31,29,28,24,31,43,32,41,32,41,22,28
28,37,19,38,41,32,28,32,22,31,31,27,38,28
25,24,26,27,41,23,39,51,26,25,29,29,42,32
27,34,19,41,43,30,28,31,29,28,36,26,38,30
46,27,23,44,39,36,28,24,27,32,40,56,27,43
30,27,49,41,28,16,30,32,28,24,31,26,34,31
47,22,27,19,47,26,23,27,31,54,24,24,27,50
33,25,25,21,28,37,55,22,38,34,28,45,27,36
37,31,25,24,39,33,32,32,29,26,26,33,32,30
28,29,26,31,28,27,38,44,25,25,38,40,36,41
33,32,31,34,26,31,23,43,34,37,24,38,41,28
25,42,36,40,31,27,28,25,30,45,26,30,26,24
33,28,31,33,40,52,39,42,32,23,28,34,37,57
32,34,38,27,29,37,35,22,27,39,25,34,32,46
27,21,28,48,28,20,27,50,24,30,39,35,36,47
25,48,32,30,50,29,31,25,24,26,42,23,31,27
30,28,19,30,27,41,24,38,51,33,29,41,43,25
32,26,24,33,39,22,26,23,49,23,23,49,44,36
33,26,29,29,34,39,27,29,24,32,38,30,32,27
32,45,29,22,37,31,26,26,25,50,41,26,29,31
20,27,25,39,19,26,31,32,29,37,39,30,34,38
32,32,26,31,29,60,27,34,33,23,30,27,14,27
28,29,34,15,26,27,24,46,45,28,28,26,28,40
34,25,51,26,23,35,29,27,25,28,31,33,25,36
33,47,34,20,29,25,40,45,40,27,49,28,25,28
35,44,30,33,23,52,35,50,28,25,24,28,43,26
39,25,33,26,36,27,27,27,29,36,50,15,28,42
42,41,30,28,45,37,29,41,57,45,37,29,43,40
39,26,18,25,43,41,44,39,35,38,31,45,41,31
52,19,29,26,22,31,30,29,24,27,28,41,27,34
48,41,30,50,30,52,25,34,43,27,55,23,30,31
45,19,39,26,34,28,30,26,32,29,40,37,35,36
25,25,27,44,27,29,21,28,46,33,37,29,28,37
28,48,18,17,29,21,30,28,33,47,23,57,25,29
27,24,30,41,44,46,23,46,42,23,23,43,48,33
